,Rooms,Bathroom,Landsize,Lattitude,Longtitude,Price
2404,1,1.0,0.0,-37.7475,144.9194,280000.0
2405,4,2.0,683.0,-37.7439,144.9195,1467000.0
2408,2,1.0,649.0,-37.7445,144.9133,890000.0
2409,2,1.0,319.0,-37.7555,144.9118,870000.0
2412,3,1.0,551.0,-37.7571,144.9335,1134000.0
2414,1,1.0,0.0,-37.7547,144.9107,320500.0
2416,2,1.0,477.0,-37.7503,144.911,1065000.0
2418,4,2.0,601.0,-37.7434,144.9256,1610000.0
2420,2,1.0,225.0,-37.7548,144.9113,930000.0
2422,2,1.0,0.0,-37.7461,144.9058,395000.0
2425,3,1.0,687.0,-37.7442,144.9045,1470000.0
2429,3,1.0,253.0,-37.7397,144.898,750000.0
2430,2,1.0,0.0,-37.7554,144.9127,390000.0
2432,4,2.0,0.0,-37.7465,144.91,1170000.0
2433,4,3.0,519.0,-37.7517,144.9086,1600000.0
2434,4,1.0,638.0,-37.7523,144.9052,1535000.0
2436,2,1.0,0.0,-37.7461,144.9079,435000.0
2438,3,2.0,605.0,-37.7546,144.9042,1460000.0
2439,2,1.0,0.0,-37.7412,144.8974,736000.0
2441,2,1.0,0.0,-37.745,144.915,450000.0
2442,2,1.0,250.0,-37.7457,144.9061,740000.0
2443,2,1.0,201.0,-37.7454,144.928,691000.0
2445,4,2.0,715.0,-37.7582,144.9128,2355000.0
2449,3,2.0,858.0,-37.7417,144.8961,1625000.0
2450,3,1.0,300.0,-37.7548,144.9315,1150000.0
2453,2,1.0,0.0,-37.754,144.9209,360000.0
2454,2,1.0,170.0,-37.7475,144.8959,645000.0
2455,1,1.0,0.0,-37.7523,144.9221,250000.0
2458,3,1.0,862.0,-37.7399,144.8964,872000.0
2460,2,1.0,0.0,-37.7543,144.9066,630000.0
2461,2,1.0,1011.0,-37.7556,144.9132,440000.0
2462,5,3.0,657.0,-37.7548,144.9098,1811000.0
2463,3,2.0,440.0,-37.7524,144.9074,1500000.0
2466,3,1.0,618.0,-37.7442,144.9249,1290000.0
2468,3,1.0,0.0,-37.7566,144.9155,1100000.0
2470,4,2.0,411.0,-37.757,144.9251,1270000.0
2471,3,2.0,400.0,-37.7542,144.9117,1445000.0
2472,4,1.0,533.0,-37.7509,144.8922,1113000.0
2473,2,1.0,0.0,-37.7482,144.908,370000.0
2476,2,1.0,0.0,-37.7428,144.9086,396000.0
2481,2,1.0,88.0,-37.7389,144.8998,450000.0
2482,5,3.0,463.0,-37.7379,144.9022,1360000.0
2483,2,1.0,0.0,-37.7433,144.9074,340000.0
2484,3,2.0,0.0,-37.7364,144.8977,765000.0
2486,3,2.0,189.0,-37.7374,144.9006,712000.0
2488,3,2.0,327.0,-37.7723,145.0179,1250000.0
2489,3,1.0,309.0,-37.7828,145.0154,1350000.0
2492,2,1.0,537.0,-37.7689,145.0177,1220000.0
2493,4,2.0,381.0,-37.7735,145.0192,1160000.0
2494,2,1.0,0.0,-37.7755,145.0178,505000.0
2495,2,1.0,0.0,-37.7845,145.0105,602000.0
2496,3,1.0,185.0,-37.7665,145.0175,846000.0
2497,2,1.0,0.0,-37.7719,145.0195,400000.0
2499,2,1.0,0.0,-37.7782,145.0162,445000.0
2501,4,2.0,490.0,-37.7749,145.0242,1730000.0
2504,2,1.0,1658.0,-37.7781,145.0157,510000.0
2508,3,1.0,553.0,-37.7728,145.0214,1350000.0
2509,4,3.0,575.0,-37.7671,145.0176,2000000.0
2512,2,1.0,140.0,-37.7697,145.0203,805000.0
2513,3,1.0,382.0,-37.7696,145.0188,1055000.0
2514,2,1.0,0.0,-37.7845,145.0105,548000.0
2515,3,1.0,0.0,-37.7714,145.0173,1500000.0
2516,2,1.0,0.0,-37.7732,145.0193,600000.0
2518,2,1.0,0.0,-37.7682,145.0209,545000.0
2520,3,1.0,496.0,-37.7737,145.018,1375000.0
2522,3,2.0,0.0,-37.8029,144.975,1252000.0
2523,2,1.0,0.0,-37.7941,144.9802,810000.0
2526,1,1.0,87.0,-37.8019,144.9821,947500.0
2527,2,1.0,0.0,-37.8006,144.9814,1460000.0
2529,2,2.0,0.0,-37.7953,144.9775,880000.0
2530,4,4.0,337.0,-37.8052,144.9739,3310000.0
2533,3,1.0,113.0,-37.7966,144.9821,1250000.0
2536,4,1.0,177.0,-37.7999,144.9759,1950000.0
2539,1,1.0,0.0,-37.7974,144.9799,465000.0
2540,4,2.0,132.0,-37.8004,144.9768,1620000.0
2542,3,2.0,2782.0,-37.8005,144.9787,850000.0
2544,2,1.0,106.0,-37.7968,144.9781,1122000.0
2546,2,1.0,157.0,-37.7941,144.98,1300000.0
2547,1,1.0,782.0,-37.8055,144.9809,420000.0
2548,2,1.0,0.0,-37.7967,144.9836,715000.0
2550,2,2.0,64.0,-37.7956,144.9804,800000.0
2551,2,1.0,0.0,-37.7953,144.9775,710000.0
2552,2,1.0,0.0,-37.8024,144.9835,630000.0
2553,4,3.0,286.0,-37.7999,144.9755,4011000.0
2555,2,2.0,4332.0,-37.7846,144.9785,700000.0
2556,2,1.0,104.0,-37.7927,144.9796,860000.0
2557,2,1.0,107.0,-37.7898,144.9794,870000.0
2559,4,2.0,266.0,-37.7797,144.9861,1450000.0
2563,1,1.0,0.0,-37.7925,144.9786,358500.0
2565,2,2.0,134.0,-37.7916,144.9784,770000.0
2566,2,1.0,150.0,-37.7833,144.9819,1008000.0
2567,3,2.0,112.0,-37.7912,144.9825,1015000.0
2568,3,1.0,197.0,-37.7835,144.9816,1371000.0
2572,3,1.0,275.0,-37.7779,144.9862,1286000.0
2575,3,3.0,188.0,-37.7829,144.9788,1600000.0
2578,4,2.0,233.0,-37.7786,144.9818,1950000.0
2579,4,2.0,445.0,-37.786,144.9864,3400000.0
2580,4,2.0,188.0,-37.7815,144.9869,1785000.0
2582,2,1.0,223.0,-37.7829,144.9782,1210000.0
2583,3,2.0,104.0,-37.7813,144.9834,1275000.0
2587,2,1.0,136.0,-37.7819,144.9824,1290000.0
2588,2,2.0,0.0,-37.7761,144.9792,750000.0
2590,2,1.0,0.0,-37.7918,144.9824,675000.0
2591,4,3.0,127.0,-37.7855,144.9789,1700000.0
2593,3,2.0,77.0,-37.7923,144.9776,1080000.0
2595,2,1.0,487.0,-37.7737,144.9822,1222500.0
2600,2,1.0,100.0,-37.788000000000004,144.9791,937500.0
2603,3,1.0,203.0,-37.7834,144.9862,1300000.0
2606,3,2.0,127.0,-37.7851,144.9809,1300000.0
2608,3,2.0,202.0,-37.7835,144.9867,2150000.0
2610,3,1.0,193.0,-37.7836,144.985,1581000.0
2611,2,1.0,0.0,-37.7794,144.989,602000.0
2612,2,1.0,0.0,-37.777,144.9838,650000.0
2614,3,2.0,118.0,-37.7839,144.9807,1450000.0
2617,2,1.0,0.0,-37.7833,144.9255,365000.0
2619,2,1.0,0.0,-37.7833,144.9255,425000.0
2622,2,1.0,0.0,-37.7825,144.9239,391000.0
2624,3,1.0,294.0,-37.7856,144.9292,1130000.0
2625,3,1.0,272.0,-37.7857,144.931,1110000.0
2627,2,1.0,136.0,-37.7839,144.9343,918000.0
2628,2,1.0,140.0,-37.7867,144.9342,730000.0
2630,2,1.0,225.0,-37.7849,144.9197,855000.0
2632,3,1.0,212.0,-37.7818,144.9247,1012000.0
2637,2,1.0,0.0,-37.7833,144.9255,395000.0
2640,2,2.0,0.0,-37.784,144.9356,556000.0
2642,1,1.0,0.0,-37.7826,144.9311,345000.0
2643,3,2.0,179.0,-37.7857,144.9305,1100000.0
2647,1,1.0,818.0,-37.788000000000004,144.9306,395000.0
2649,3,1.0,244.0,-37.7823,144.9278,1115000.0
2650,2,1.0,0.0,-37.783,144.93200000000004,420500.0
2653,4,2.0,319.0,-37.7943,144.8875,1225000.0
2655,3,1.0,292.0,-37.797,144.9051,1003000.0
2656,3,1.0,164.0,-37.7959,144.8863,840000.0
2657,3,2.0,497.0,-37.7958,144.9024,1362000.0
2658,4,2.0,154.0,-37.7983,144.8911,977000.0
2659,1,1.0,0.0,-37.7907,144.8924,216000.0
2660,3,2.0,204.0,-37.8012,144.8921,876000.0
2661,1,1.0,0.0,-37.7907,144.8924,227000.0
2662,4,2.0,250.0,-37.7959,144.8989,841000.0
2663,2,1.0,2794.0,-37.8044,144.9064,605000.0
2664,2,1.0,47.0,-37.8014,144.8959,305000.0
2665,2,1.0,556.0,-37.7919,144.8854,480000.0
2667,3,1.0,361.0,-37.7913,144.8879,910000.0
2668,1,1.0,665.0,-37.7978,144.8918,291000.0
2670,2,1.0,215.0,-37.7922,144.891,752000.0
2671,3,1.0,585.0,-37.7941,144.8924,1155000.0
2674,3,1.0,0.0,-37.7962,144.8851,853000.0
2676,3,1.0,0.0,-37.7949,144.9007,480000.0
2677,4,1.0,277.0,-37.7901,144.8883,775000.0
2679,2,1.0,0.0,-37.7891,144.8912,281000.0
2680,4,2.0,0.0,-37.7923,144.8848,1300000.0
2681,3,2.0,164.0,-37.7948,144.8868,714000.0
2683,2,1.0,657.0,-37.7909,144.8884,950000.0
2685,3,1.0,265.0,-37.7975,144.8894,760000.0
2686,2,1.0,0.0,-37.8042,144.9049,420000.0
2690,3,1.0,451.0,-37.8023,144.8915,932000.0
2691,3,1.0,323.0,-37.7935,144.8893,780000.0
2692,2,1.0,0.0,-37.7903,144.891,295000.0
2693,2,1.0,0.0,-37.8017,144.8957,433000.0
2694,2,2.0,65.0,-37.7881,144.8838,410000.0
2695,2,1.0,184.0,-37.7988,144.90200000000004,1170000.0
2696,1,1.0,0.0,-37.8006,144.881,375000.0
2698,3,1.0,246.0,-37.8012,144.8924,747000.0
2701,3,1.0,242.0,-37.7956,144.8848,775000.0
2702,2,2.0,0.0,-37.8025,144.9073,571000.0
2704,1,1.0,59.0,-37.7903,144.8899,305000.0
2705,3,2.0,322.0,-37.7963,144.8862,860500.0
2709,2,1.0,0.0,-37.7992,144.8961,370000.0
2710,2,1.0,253.0,-37.7968,144.8887,711000.0
2712,2,1.0,212.0,-37.7903,144.8879,690500.0
2713,2,1.0,320.0,-37.7964,144.8871,747000.0
2714,2,1.0,313.0,-37.7966,144.9016,858000.0
2715,4,2.0,0.0,-37.7905,144.8882,699000.0
2716,2,1.0,222.0,-37.7962,144.8844,835000.0
2717,2,1.0,132.0,-37.7946,144.8903,661000.0
2718,2,1.0,258.0,-37.7959,144.8901,757500.0
2719,1,1.0,1783.0,-37.7949,144.9007,282000.0
2720,3,1.0,125.0,-37.7922,144.8831,699000.0
2721,3,1.0,190.0,-37.795,144.88299999999995,850000.0
2722,2,1.0,882.0,-37.7899,144.893,315000.0
2723,3,1.0,211.0,-37.8059,144.901,740000.0
2725,3,2.0,196.0,-37.7987,144.9034,980000.0
2727,2,1.0,0.0,-37.789,144.8932,316000.0
2729,2,1.0,130.0,-37.7988,144.9045,760000.0
2730,3,2.0,112.0,-37.8001,144.8797,735000.0
2732,4,2.0,319.0,-37.7943,144.8875,1225000.0
2735,3,2.0,458.0,-37.7942,144.8832,767500.0
2736,2,2.0,0.0,-37.8006,144.9053,395000.0
2737,4,2.0,369.0,-37.7914,144.8957,815000.0
2738,3,2.0,102.0,-37.7987,144.8807,757000.0
2739,4,1.0,799.0,-37.7958,144.9001,1450000.0
2740,2,1.0,355.0,-37.7931,144.8938,745000.0
2741,2,1.0,274.0,-37.7939,144.8846,716000.0
2742,3,2.0,680.0,-37.854,145.0832,1735000.0
2744,4,3.0,856.0,-37.8628,145.0436,3400000.0
2745,5,3.0,919.0,-37.8637,145.0438,3730000.0
2746,4,2.0,868.0,-37.8522,145.0893,1800000.0
2747,4,2.0,739.0,-37.8513,145.0601,1998000.0
2748,2,1.0,0.0,-37.8555,145.0889,671000.0
2751,3,2.0,217.0,-37.8639,145.0641,1425000.0
2752,3,1.0,753.0,-37.8543,145.0889,1530000.0
2753,4,4.0,708.0,-37.8646,145.0673,1900000.0
2755,3,2.0,704.0,-37.852,145.0942,1360000.0
2756,5,3.0,619.0,-37.8554,145.0611,2175000.0
2757,4,3.0,638.0,-37.8523,145.0726,2325000.0
2758,4,2.0,630.0,-37.856,145.0691,2538000.0
2759,4,3.0,1258.0,-37.8552,145.082,2300000.0
2760,2,1.0,0.0,-37.8567,145.0435,550000.0
2761,3,2.0,704.0,-37.852,145.0942,1600000.0
2763,3,2.0,745.0,-37.8501,145.059,2115000.0
2764,3,2.0,625.0,-37.8602,145.0925,1700000.0
2768,4,2.0,553.0,-37.8589,145.0413,2077000.0
2769,4,3.0,1184.0,-37.8526,145.0848,2850000.0
2770,2,1.0,0.0,-37.85,145.0461,411000.0
2776,4,2.0,630.0,-37.8667,145.0752,2020000.0
2779,4,2.0,659.0,-37.8509,145.0916,2010000.0
2780,4,3.0,0.0,-37.8541,145.0643,2975000.0
2783,1,1.0,63.0,-37.8552,145.05,452000.0
2786,3,1.0,650.0,-37.8571,145.0766,1820000.0
2787,1,1.0,1097.0,-37.8576,145.0452,291000.0
2789,4,2.0,652.0,-37.8479,145.0557,2376000.0
2791,3,1.0,504.0,-37.8541,145.0544,1456000.0
2795,1,1.0,745.0,-37.8505,145.0459,345000.0
2796,5,3.0,696.0,-37.8563,145.0709,2000000.0
2800,2,1.0,84.0,-37.8517,145.0796,585000.0
2802,4,3.0,650.0,-37.8581,145.078,1700000.0
2805,3,2.0,328.0,-37.8529,145.0605,1375000.0
2806,2,1.0,334.0,-37.8577,145.0576,920000.0
2807,2,1.0,1069.0,-37.8547,145.0457,382000.0
2810,2,1.0,412.0,-37.8541,145.05100000000004,1280000.0
2812,5,4.0,802.0,-37.8627,145.0719,2825000.0
2813,3,2.0,885.0,-37.8577,145.0421,2825000.0
2814,4,3.0,366.0,-37.8503,145.0586,1825000.0
2817,5,3.0,778.0,-37.8582,145.0715,3085000.0
2823,2,2.0,718.0,-37.858000000000004,145.0696,1600000.0
2825,5,3.0,642.0,-37.859,145.0656,2352500.0
2826,5,4.0,830.0,-37.8563,145.072,3860000.0
2827,4,3.0,840.0,-37.8538,145.0641,2625000.0
2835,4,2.0,775.0,-37.8561,145.0934,1950000.0
2836,3,1.0,700.0,-37.8553,145.0711,2200000.0
2837,3,1.0,609.0,-37.8542,145.0733,1751000.0
2838,4,2.0,548.0,-37.8536,145.0547,1857000.0
2840,2,1.0,0.0,-37.8468,145.0515,720000.0
2841,3,1.0,401.0,-37.8471,145.05100000000004,1500000.0
2842,4,3.0,603.0,-37.8521,145.0657,2725000.0
2845,3,1.0,762.0,-37.8575,145.0554,2800000.0
2846,3,1.0,685.0,-37.8538,145.0842,1665000.0
2847,2,1.0,0.0,-37.8555,145.0518,600000.0
2848,3,1.0,615.0,-37.8578,145.0919,1420000.0
2853,5,2.0,654.0,-37.8515,145.0922,2410000.0
2854,4,2.0,645.0,-37.8516,145.061,2100000.0
2855,4,2.0,1485.0,-37.8509,145.0856,2950000.0
2857,5,2.0,1339.0,-37.8649,145.0547,3365000.0
2861,3,2.0,648.0,-37.8547,145.0771,1931000.0
2863,2,1.0,438.0,-37.8511,145.0428,1250000.0
2864,5,3.0,709.0,-37.8529,145.0806,2400000.0
2866,3,1.0,696.0,-37.6972,144.9431,610000.0
2867,3,1.0,640.0,-37.6979,144.9335,610000.0
2870,3,1.0,766.0,-37.6988,144.9372,806500.0
2873,4,2.0,683.0,-37.6964,144.9314,550000.0
2874,3,1.0,700.0,-37.6988,144.9438,822000.0
2875,3,2.0,1029.0,-37.7115,144.9147,980000.0
2877,2,1.0,164.0,-37.7072,144.9252,430000.0
2880,2,1.0,164.0,-37.7082,144.9178,540000.0
2883,3,1.0,640.0,-37.6986,144.9243,737000.0
2886,3,2.0,224.0,-37.702,144.9507,460000.0
2890,3,2.0,136.0,-37.7112,144.9142,545000.0
2891,3,1.0,734.0,-37.7007,144.9378,670000.0
2893,4,1.0,606.0,-37.7104,144.9088,702000.0
2894,2,1.0,705.0,-37.705999999999996,144.9245,730000.0
2895,3,1.0,667.0,-37.7005,144.9185,711500.0
2897,5,4.0,695.0,-37.7028,144.9377,810000.0
2898,2,1.0,0.0,-37.711,144.9178,250000.0
2899,3,1.0,325.0,-37.7001,144.9291,460000.0
2900,3,1.0,780.0,-37.7,144.9427,793000.0
2901,2,1.0,0.0,-37.7071,144.9176,340000.0
2903,3,1.0,320.0,-37.6949,144.9122,447500.0
2904,3,1.0,616.0,-37.7029,144.9053,588000.0
2905,3,1.0,0.0,-37.7025,144.9504,420000.0
2906,2,1.0,200.0,-37.7002,144.9428,410000.0
2909,3,1.0,665.0,-37.6966,144.9331,525000.0
2910,3,1.0,704.0,-37.7021,144.9136,703000.0
2911,4,2.0,252.0,-37.7006,144.9299,608000.0
2916,4,3.0,0.0,-37.7102,144.9112,607000.0
2917,3,2.0,780.0,-37.6955,144.9389,765500.0
2918,3,1.0,187.0,-37.7098,144.9163,470000.0
2920,3,1.0,650.0,-37.7002,144.9408,580000.0
2922,2,1.0,253.0,-37.7117,144.9135,620250.0
2923,3,1.0,796.0,-37.6955,144.9253,710000.0
2924,4,1.0,630.0,-37.7002,144.9232,630000.0
2926,3,1.0,541.0,-37.7051,144.9069,600000.0
2927,3,2.0,212.0,-37.7073,144.9277,550000.0
2929,4,1.0,586.0,-37.6975,144.9065,600000.0
2930,4,3.0,693.0,-37.7111,144.9275,1217500.0
2931,3,1.0,599.0,-37.7009,144.9291,600000.0
2932,3,2.0,585.0,-37.6977,144.9071,570000.0
2935,3,1.0,597.0,-37.7097,144.9351,762700.0
2936,2,1.0,176.0,-37.7081,144.912,465000.0
2937,2,1.0,668.0,-37.7067,144.9331,741250.0
2941,4,2.0,977.0,-37.7063,144.9273,1000000.0
2943,4,2.0,602.0,-37.7005,144.9258,630000.0
2944,3,1.0,705.0,-37.6967,144.9116,670000.0
2945,2,1.0,172.0,-37.7074,144.9086,417000.0
2946,3,1.0,258.0,-37.7047,144.9087,600000.0
2947,3,2.0,215.0,-37.6952,144.9256,440000.0
2949,3,1.0,657.0,-37.7019,144.9225,660000.0
2951,2,1.0,155.0,-37.6972,144.9239,270000.0
2952,4,2.0,768.0,-37.6979,144.9377,825000.0
2953,4,2.0,624.0,-37.6969,144.9334,638000.0
2954,3,2.0,608.0,-37.709,144.8925,631000.0
2955,3,2.0,149.0,-37.7068,144.8963,532000.0
2957,3,2.0,215.0,-37.709,144.8964,504000.0
2958,3,2.0,178.0,-37.7087,144.8962,468000.0
2959,4,2.0,0.0,-37.705,144.9004,802500.0
2960,4,2.0,453.0,-37.7016,144.8974,709000.0
2962,3,2.0,175.0,-37.7076,144.8961,485000.0
2963,3,2.0,367.0,-37.704,144.8989,540000.0
2964,3,2.0,158.0,-37.7091,144.8958,390000.0
2965,4,2.0,719.0,-37.7062,144.8978,800000.0
2967,4,2.0,453.0,-37.7016,144.8974,740000.0
2968,3,1.0,597.0,-37.711,144.9478,605000.0
2969,3,1.0,724.0,-37.7076,144.9481,685500.0
2970,2,1.0,394.0,-37.7153,144.9507,610000.0
2971,3,1.0,604.0,-37.7124,144.9514,630000.0
2972,4,3.0,591.0,-37.7127,144.9489,870000.0
2973,3,2.0,592.0,-37.7149,144.9473,810000.0
2979,2,1.0,198.0,-37.7132,144.9488,487000.0
2980,4,2.0,700.0,-37.7056,144.9384,700000.0
2981,4,2.0,462.0,-37.7062,144.9387,600500.0
2982,3,1.0,570.0,-37.7106,144.9491,730000.0
2983,3,2.0,565.0,-37.7094,144.9377,800000.0
2985,3,2.0,301.0,-37.715,144.9475,750000.0
2986,3,1.0,568.0,-37.7077,144.9438,740000.0
2988,3,1.0,574.0,-37.7157,144.9507,646000.0
2989,3,2.0,230.0,-37.7073,144.9486,545000.0
2991,4,1.0,700.0,-37.704,144.9399,777000.0
2992,2,3.0,580.0,-37.7098,144.9424,722000.0
2993,2,1.0,591.0,-37.7128,144.9471,545000.0
2994,3,2.0,234.0,-37.707,144.9411,510000.0
2996,3,1.0,593.0,-37.7133,144.947,631500.0
2999,3,1.0,610.0,-37.7107,144.9419,550000.0
3000,2,1.0,249.0,-37.714,144.939,330000.0
3004,2,1.0,613.0,-37.7099,144.938,715888.0
3006,2,1.0,137.0,-37.707,144.9413,468000.0
3008,2,1.0,345.0,-37.7128,144.9496,515000.0
3012,2,1.0,228.0,-37.9355,145.0008,895000.0
3013,2,1.0,0.0,-37.9419,145.0019,587000.0
3014,4,3.0,701.0,-37.9419,145.0152,2800000.0
3016,4,3.0,928.0,-37.9389,145.0062,3250000.0
3017,4,2.0,688.0,-37.9319,145.0173,2140000.0
3018,4,2.0,607.0,-37.9324,145.0235,1600000.0
3020,3,1.0,289.0,-37.9338,145.0226,1003500.0
3021,2,1.0,0.0,-37.939,145.0137,802000.0
3025,3,1.0,593.0,-37.9399,145.0204,1560000.0
3028,2,1.0,90.0,-37.9389,145.0186,760000.0
3029,2,1.0,0.0,-37.9373,145.0027,616000.0
3030,4,1.0,723.0,-37.9437,145.0175,1680000.0
3033,3,2.0,373.0,-37.9395,145.0088,1120000.0
3034,4,3.0,760.0,-37.9326,144.9997,3200000.0
3035,4,3.0,398.0,-37.9381,145.0161,1250000.0
3037,4,3.0,615.0,-37.9429,145.0072,2000000.0
3039,5,2.0,700.0,-37.9419,145.0156,1805000.0
3044,4,1.0,1504.0,-37.944,145.0015,2600000.0
3047,5,3.0,670.0,-37.9427,145.0085,3470000.0
3052,3,2.0,357.0,-37.9449,145.0144,1050000.0
3054,3,1.0,195.0,-37.9396,145.0156,810000.0
3055,3,2.0,413.0,-37.933,144.9975,1460000.0
3059,5,2.0,830.0,-37.9386,145.006,3075000.0
3061,2,2.0,225.0,-37.9442,145.0018,875500.0
3064,5,4.0,1000.0,-37.9332,145.0226,2600000.0
3066,5,2.0,648.0,-37.946,145.0181,1705000.0
3073,4,2.0,611.0,-37.9446,145.0201,1515000.0
3074,5,3.0,694.0,-37.9372,145.0101,2980000.0
3075,4,3.0,583.0,-37.9336,144.9999,2200000.0
3077,3,2.0,355.0,-37.9391,145.012,1100000.0
3079,4,3.0,627.0,-37.9449,145.0068,3325000.0
3081,2,2.0,0.0,-37.9462,145.0212,450000.0
3084,2,1.0,0.0,-37.9436,145.0027,500000.0
3085,4,3.0,562.0,-37.9369,145.0163,1460000.0
3089,4,3.0,414.0,-37.9401,145.0083,1740000.0
3091,4,2.0,667.0,-37.9315,145.0109,1800000.0
3092,4,2.0,577.0,-37.9382,144.9997,2160000.0
3095,4,2.0,647.0,-37.9407,145.0104,2250000.0
3096,4,2.0,714.0,-37.9446,145.0092,2130000.0
3097,2,1.0,0.0,-37.9367,145.0322,400000.0
3101,3,2.0,393.0,-37.9431,145.0267,926000.0
3102,3,1.0,583.0,-37.9428,145.0296,1070000.0
3103,2,1.0,217.0,-37.9432,145.0348,801000.0
3104,3,2.0,0.0,-37.9355,145.0276,1150000.0
3105,2,1.0,215.0,-37.933,145.0322,472000.0
3109,3,2.0,586.0,-37.9431,145.0274,1300000.0
3111,4,2.0,0.0,-37.9405,145.0346,1200000.0
3113,4,2.0,317.0,-37.8344,145.0422,1650000.0
3115,4,2.0,336.0,-37.8183,145.0371,2670000.0
3117,1,1.0,0.0,-37.8303,145.0341,348000.0
3119,3,1.0,181.0,-37.8243,145.0328,1189000.0
3120,2,2.0,85.0,-37.8154,145.0369,610000.0
3123,1,1.0,0.0,-37.8299,145.0422,492000.0
3125,2,1.0,0.0,-37.8249,145.0342,806000.0
3127,3,2.0,460.0,-37.8155,145.019,2000000.0
3129,2,1.0,0.0,-37.8186,145.017,753000.0
3130,1,1.0,0.0,-37.8177,145.0424,330000.0
3131,3,1.0,218.0,-37.8214,145.0437,1420000.0
3134,2,1.0,0.0,-37.8216,145.0343,495000.0
3136,1,1.0,0.0,-37.8294,145.0382,292000.0
3139,2,1.0,1089.0,-37.8143,145.0322,580000.0
3140,3,2.0,341.0,-37.8236,145.0425,1300000.0
3141,3,1.0,232.0,-37.8173,145.0252,1300000.0
3144,2,1.0,0.0,-37.8192,145.0385,440000.0
3145,3,3.0,0.0,-37.8144,145.0153,1000000.0
3147,3,1.0,383.0,-37.8155,145.0385,1741000.0
3150,2,1.0,0.0,-37.8343,145.0364,655000.0
3152,1,1.0,0.0,-37.8272,145.0343,488000.0
3155,3,1.0,351.0,-37.8165,145.02100000000004,2065000.0
3156,1,1.0,0.0,-37.8208,145.0456,350000.0
3159,3,1.0,342.0,-37.814,145.0212,1712000.0
3161,1,1.0,0.0,-37.8128,145.0171,480000.0
3163,4,2.0,665.0,-37.814,145.0175,3225000.0
3167,1,1.0,0.0,-37.8155,145.0161,400000.0
3168,4,2.0,207.0,-37.8271,145.0243,1650000.0
3169,5,2.0,1236.0,-37.8257,145.0321,3950000.0
3170,2,1.0,1099.0,-37.8271,145.0347,587500.0
3171,2,1.0,0.0,-37.8268,145.0344,560000.0
3172,4,2.0,218.0,-37.8142,145.0252,1936000.0
3173,5,4.0,1275.0,-37.8291,145.0308,4250000.0
3176,3,1.0,0.0,-37.8153,145.02100000000004,630000.0
3177,3,2.0,198.0,-37.8169,145.0234,1560000.0
3179,3,2.0,0.0,-37.8268,145.0344,840000.0
3180,3,3.0,88.0,-37.824,145.0427,1780000.0
3183,2,1.0,0.0,-37.8184,145.0163,815000.0
3184,3,2.0,0.0,-37.8235,145.029,1975000.0
3187,2,1.0,728.0,-37.8177,145.0424,657500.0
3188,4,4.0,905.0,-37.8168,145.0321,5050000.0
3189,1,1.0,0.0,-37.8261,145.0269,445000.0
3191,3,1.0,218.0,-37.8176,145.0204,1180000.0
3192,2,1.0,0.0,-37.813,145.0207,470000.0
3193,2,1.0,0.0,-37.8226,145.0368,485000.0
3195,4,2.0,601.0,-37.839,145.0418,1800000.0
3197,3,1.0,304.0,-37.8253,145.0287,1855000.0
3199,2,1.0,0.0,-37.8183,145.0194,665000.0
3201,3,1.0,199.0,-37.8172,145.0243,1551000.0
3205,2,1.0,859.0,-37.8183,145.0423,612500.0
3206,3,2.0,249.0,-37.8169,145.02100000000004,2410000.0
3209,2,1.0,0.0,-37.8142,145.0308,715000.0
3212,2,2.0,191.0,-37.813,145.0167,1055000.0
3213,4,2.0,410.0,-37.8246,145.026,1976000.0
3215,1,1.0,0.0,-37.8158,145.0342,499000.0
3216,2,1.0,0.0,-37.8157,145.0273,495000.0
3217,5,3.0,827.0,-37.8144,145.0279,3750000.0
3218,3,2.0,164.0,-37.8159,145.0219,1400000.0
3219,1,1.0,0.0,-37.8222,145.0329,370000.0
3220,2,2.0,0.0,-37.8213,145.0224,627500.0
3227,2,1.0,589.0,-37.7501,145.0505,815000.0
3233,2,2.0,201.0,-37.7426,145.0556,565000.0
3236,3,2.0,807.0,-37.7453,145.0559,994000.0
3240,3,1.0,592.0,-37.7477,145.0481,785000.0
3241,3,2.0,215.0,-37.7424,145.0519,620000.0
3243,3,2.0,250.0,-37.7449,145.0523,706750.0
3244,2,1.0,428.0,-37.7418,145.0513,584000.0
3245,3,2.0,585.0,-37.7358,145.0546,909000.0
3246,4,2.0,724.0,-37.7404,145.0582,1086000.0
3247,2,1.0,605.0,-37.7365,145.0545,680000.0
3249,2,1.0,620.0,-37.7377,145.0541,650000.0
3250,5,2.0,596.0,-37.7487,145.0522,890000.0
3251,3,1.0,582.0,-37.7422,145.05,650000.0
3254,2,1.0,166.0,-37.7416,145.0567,605000.0
3255,8,4.0,638.0,-37.7426,145.048,770000.0
3256,3,1.0,800.0,-37.7406,145.0483,950000.0
3257,4,1.0,722.0,-37.7477,145.0565,856000.0
3258,3,2.0,251.0,-37.7358,145.0559,600000.0
3264,3,1.0,748.0,-37.7416,145.0481,915000.0
3265,2,1.0,127.0,-37.747,145.0575,400000.0
3268,3,1.0,420.0,-37.7363,145.0506,550000.0
3270,2,1.0,586.0,-37.7435,145.0486,590000.0
3271,2,1.0,932.0,-37.7333,145.0588,920000.0
